reduced_sent,original_sent,page_title
28ª Exposição do Cavalo Árabe começa nesta sexta-feira em Avaré .,"A 28ª edição da Exposição Interestadual do Cavalo Árabe começa a ser realizada nesta sexta-feira ( 22 ) , em Avaré ( SP ) , e segue até domingo ( 24 ) .",28-exposicao-do-cavalo-arabe-comeca-nesta-sexta-feira-em-avare.html
Litoral do Piauí receberá reforço de mais de 100 policiais militares.,O litoral do Piauí receberá a partir do dia 15 de dezembro o reforço de mais de 100 policiais militares.,litoral-do-piaui-recebera-reforco-de-mais-de-100-policiais-militares.html
Prefeitura de Potengi ( CE ) abre concurso para 137 vagas.,"A Prefeitura de Potengi ( CE ) abre nesta segunda-feira ( 15 ) as inscrições do concurso público para 137 vagas e formação de cadastro reserva em cargos de nível fundamental , médio e superior.",prefeitura-de-potengi-ce-abre-concurso-para-137-vagas.html
Afogados da Ingazeira recebe nesta sexta duas médicas cubanas.,"A cidade de Afogados da Ingazeira , no Sertão de Pernambuco , recebe nesta sexta-feira ( 20 ) duas médicas cubanas integrantes do Programa Mais Médicos do Governo Federal.",afogados-da-ingazeira-recebe-nesta-sexta-duas-medicas-cubanas.html
Moradores de Barra Mansa ( RJ ) devem economizar água.,Os moradores de Barra Mansa ( RJ ) devem economizar água.,moradores-de-barra-mansa-rj-devem-economizar-agua.html
Cerca de 20 cones de sinalização são furtados por semana em Vitória.,"Cerca de 20 cones de sinalização são furtados por semana em Vitória , de acordo com informações da Guarda de Trânsito.",cerca-de-20-cones-de-sinalizacao-sao-roubados-por-semana-em-vitoria.html
Incêndio atinge prédio de três andares no Centro de Fortaleza.,"Um incêndio atinge um prédio de três andares na noite desta quarta-feira ( 6 ) , no Centro de Fortaleza.",incendio-atinge-predio-de-tres-andares-no-centro-de-fortaleza.html
Paulo César Quartiero ( DEM-RR ) .,O deputado federal Paulo César Justo Quartiero ( DEM-RR ) responde a seis ações penais na Justiça Federal de Roraima.,paulo-cesar-quartiero-dem-rr.html
Servidores do Instituto Federal de Tecnologia do Ceará continuam greve.,"Os professores e servidores técnico-administrativo do Instituto Federal de Educação , Ciência e Tecnologia do Ceará ( IFCE ) continuam a greve mesmo com o fim da paralisação dos docentes da Universidade Federal do Ceará ( UFC ) e da Universidade da Integração Internacional da Lusofonia Afro-brasileira ( Unilab ) .",servidores-do-instituto-federal-de-tecnologia-do-ceara-continuam-greve.html
"Espetáculo ' Findo' continua com entrada franca , em Porto Velho.","A programação do espetáculo teatral ' Findo' continua em Porto Velho com entrada franca , a partir das 21h , no Teatro Um do Sesc Esplanada , em Porto Velho.",espetaculo-findo-continua-com-entrada-franca-em-porto-velho.html
