original_sent_id,original_sent,reduced_sent,reduced_sent_id
PT2012-2013/docs/30/20130728_CM_499355.sents,"As peças do acidente ferroviário, que fez 78 mortos, estão à guarda da polícia num navio na freguesia de Escravitude, na Corunha.",As peças do acidente estão à guarda da polícia na Corunha.,PT2012-2013/summaries/30.H
PT2012-2013/docs/30/20130728_CM_499355.sents,"As peças do acidente ferroviário, que fez 78 mortos, estão à guarda da polícia num navio na freguesia de Escravitude, na Corunha.",As peças do acidente estão à guarda da polícia na Corunha.,PT2012-2013/summaries/30.H
PT2012-2013/docs/30/20130728_CM_499355.sents,"As peças do acidente ferroviário, que fez 78 mortos, estão à guarda da polícia num navio na freguesia de Escravitude, na Corunha.","As peças do acidente estão à guarda da polícia num navio, na Corunha.",PT2012-2013/summaries/30.C
PT2012-2013/docs/30/20130728_CM_499355.sents,"As peças do acidente ferroviário, que fez 78 mortos, estão à guarda da polícia num navio na freguesia de Escravitude, na Corunha.","As peças do acidente estão à guarda da polícia num navio, na Corunha.",PT2012-2013/summaries/30.C
PT2012-2013/docs/30/20130725_JN_3341338.sents,"O acidente deu-se quando um comboio de alta velocidade que fazia a ligação entre Madrid e Ferrol descarrilou, à entrada da estação de Santiago de Compostela, cerca das 20.45 horas locais (19.45 horas em Portugal continental).","O acidente deu-se quando um comboio que fazia a ligação entre Madrid e Ferrol descarrilou, à entrada da estação de Santiago de Compostela.",PT2012-2013/summaries/30.C
PT2012-2013/docs/30/20130726_DN_3343601.sents,"As autoridades espanholas concluíram ontem à noite a identificação de 67 das 80 vítimas mortais do acidente ferroviário de Santiago de Compostela e nenhuma delas era de nacionalidade portuguesa, indicou à Lusa fonte do Tribunal Superior de Justiça da Galiza.",As autoridades espanholas concluíram a identificação de 67 das 80 vítimas mortais.,PT2012-2013/summaries/30.H
PT2012-2013/docs/30/20130726_DN_3343601.sents,"As autoridades espanholas concluíram ontem à noite a identificação de 67 das 80 vítimas mortais do acidente ferroviário de Santiago de Compostela e nenhuma delas era de nacionalidade portuguesa, indicou à Lusa fonte do Tribunal Superior de Justiça da Galiza.",As autoridades espanholas concluíram a identificação das 80 vítimas mortais e nenhuma delas era portuguesa.,PT2012-2013/summaries/30.C
PT2012-2013/docs/30/20130726_CM_499094.sents,"O acidente ferroviário que na quarta-feira causou pelo menos 80 mortos e 168 feridos junto a Santiago de Compostela, Galiza – o mais trágico no país nos últimos 40 anos e o primeiro com mortes em linhas de alta velocidade em Espanha – terá sido originado por excesso de velocidade.",O acidente ferroviário que na quarta-feira causou pelo menos 80 mortos e 168 feridos terá sido originado por excesso de velocidade.,PT2012-2013/summaries/30.H
PT2012-2013/docs/30/20130725_JN_3341656.sents,O acidente é um dos mais graves da história ferroviária em Espanha e o primeiro com mortes nas linhas de alta velocidade do país.,O acidente é um dos mais graves em Espanha e o primeiro com mortes nas linhas de alta velocidade do país.,PT2012-2013/summaries/30.C
PT2012-2013/docs/30/20130725_TSF_3341735.sents,"A Junta da Galiza decretou hoje sete dias de luto oficial na sequência do acidente ferroviário que ocorreu na quarta-feira, em Santiago de Compostela, em que morreram 78 pessoas.",A Junta da Galiza decretou sete dias de luto oficial.,PT2012-2013/summaries/30.H
PT2012-2013/docs/30/20130725_TSF_3341735.sents,"A Junta da Galiza decretou hoje sete dias de luto oficial na sequência do acidente ferroviário que ocorreu na quarta-feira, em Santiago de Compostela, em que morreram 78 pessoas.",A Junta da Galiza decretou sete dias de luto oficial.,PT2012-2013/summaries/30.C
PT2012-2013/docs/24/20121214_CM_467506.sents,"Um tiroteio ocorrido nesta sexta-feira numa escola primária nos Estados Unidos terá provocado, segundo informações recolhidas pela CBS News, um total de 27 mortos, incluindo 20 crianças.","Um tiroteio ocorrido numa escola primária nos Estados Unidos terá provocado um total de 27 mortos, incluindo 20 crianças.",PT2012-2013/summaries/24.P
PT2012-2013/docs/24/20121215_JN_2949109.sents,"As autoridades disseram também que Adam Lanza matou a sua mãe na manhã de sexta-feira, antes de pegar no carro e nas armas da mãe e dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.","As autoridades disseram que Adam Lanza matou a mãe, antes de pegar no carro e nas armas e dirigir-se à escola onde matou 20 crianças e seis adultos antes de se suicidar.",PT2012-2013/summaries/24.C
PT2012-2013/docs/24/20121215_JN_2949109.sents,"As autoridades disseram também que Adam Lanza matou a sua mãe na manhã de sexta-feira, antes de pegar no carro e nas armas da mãe e dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.","Adam Lanza matou a sua mãe, antes de dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.",PT2012-2013/summaries/24.P
PT2012-2013/docs/24/20121216_DN_2950191.sents,As crianças mortas tinham entre 6  e 7 anos.,As crianças mortas tinham entre 6  e 7 anos.,PT2012-2013/summaries/24.C
PT2012-2013/docs/24/20121216_DN_2950191.sents,As crianças mortas tinham entre 6  e 7 anos.,As crianças mortas tinham entre 6  e 7 anos.,PT2012-2013/summaries/24.P
PT2012-2013/docs/24/20121222_JN_2961076.sents,O autor do massacre que há uma semana ocorreu numa escola primária de Newtown (EUA) terá sabido que a mãe o queria internar num hospital psiquiátrico.,O autor do massacre terá sabido que a mãe o queria internar num hospital psiquiátrico.,PT2012-2013/summaries/24.C
PT2012-2013/docs/24/20121214_DN_2947568.sents,"Para além da Sandy Hook Elementary School, todas as escolas da região foram fechadas depois do tiroteio, informou a administração distrital.","Para além da Sandy Hook Elementary School, todas as escolas da região foram fechadas depois do tiroteio.",PT2012-2013/summaries/24.P
PT2012-2013/docs/24/20121216_CM_467764.sents,"As autoridades disseram também que Adam Lanza matou a sua mãe na manhã de sexta-feira, antes de pegar no carro e nas armas da mãe e dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.","As autoridades disseram que Adam Lanza matou a mãe, antes de pegar no carro e nas armas e dirigir-se à escola onde matou 20 crianças e seis adultos antes de se suicidar.",PT2012-2013/summaries/24.C
PT2012-2013/docs/24/20121216_CM_467764.sents,"O presidente norte-americano, Barack Obama, reiterou a necessidade de ""uma acção significativa"" para evitar mais tragédias como o massacre de sexta-feira, na escola primária de Connecticut, podendo reabrir o debate sobre o controlo de armas.","O presidente norte-americano reiterou a necessidade de ""uma acção significativa"" para evitar mais tragédias como o massacre de sexta-feira, podendo reabrir o debate sobre o controlo de armas.",PT2012-2013/summaries/24.C
PT2012-2013/docs/24/20121216_CM_467764.sents,"As autoridades disseram também que Adam Lanza matou a sua mãe na manhã de sexta-feira, antes de pegar no carro e nas armas da mãe e dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.","Adam Lanza matou a sua mãe, antes de dirigir-se à escola onde matou a tiro 20 crianças e seis adultos antes de se suicidar.",PT2012-2013/summaries/24.P
PT2012-2013/docs/24/20121216_CM_467764.sents,"O presidente norte-americano, Barack Obama, reiterou a necessidade de ""uma acção significativa"" para evitar mais tragédias como o massacre de sexta-feira, na escola primária de Connecticut, podendo reabrir o debate sobre o controlo de armas.","O presidente norte-americano reiterou a necessidade de ""uma acção significativa"" para evitar mais tragédias como o massacre na escola primária, podendo reabrir o debate sobre o controlo de armas.",PT2012-2013/summaries/24.P
PT2012-2013/docs/03/20120704_rtpnoticias_567686.sents,"É a única partícula  do modelo padrão que ainda não foi observada pelos cientistas, mas representa a chave  para explicar a origem da massa das outras partículas elementares.",É a única partícula do modelo padrão que ainda não foi observada pelos cientistas.,PT2012-2013/summaries/03.M
PT2012-2013/docs/03/20120704_rtpnoticias_567686.sents,"Cientistas da Organização Europeia para a Investigação Nuclear (CERN) anunciaram hoje a descoberta de uma partícula nova que pode ser o bosão de Higgs, uma partícula elementar surgida logo após o Big Bang, a explosão que terá estado na origem de todo o Universo.",Cientistas da Organização Europeia para a Investigação Nuclear (CERN) anunciaram a descoberta de uma partícula que pode ser o bosão de Higgs.,PT2012-2013/summaries/03.H
PT2012-2013/docs/03/20120704_rtpnoticias_567686.sents,O bosão de Higgs é uma partícula elementar que está prevista pelo modelo padrão da física de partículas.,O bosão de Higgs é uma partícula elementar que está prevista pelo modelo padrão da física de partículas.,PT2012-2013/summaries/03.H
PT2012-2013/docs/03/20120704_rtpnoticias_567686.sents,"É a única partícula  do modelo padrão que ainda não foi observada pelos cientistas, mas representa a chave  para explicar a origem da massa das outras partículas elementares.","É a única partícula do modelo que ainda não foi observada pelos cientistas, mas representa a chave para explicar a origem da massa das outras partículas elementares.",PT2012-2013/summaries/03.H
PT2012-2013/docs/03/20121220_DN_2958932.sents,"Os investigadores anunciaram a descoberta do bosão de Higgs a 04 de julho, apresentando assim a peça que faltava ao puzzle daquilo que os físicos chamam o ""Modelo Padrão"", a teoria em que assenta toda a física de partículas elementares, que tenta explicar a origem e o funcionamento do universo.",Os investigadores anunciaram a descoberta do bosão de Higgs a 04 de julho.,PT2012-2013/summaries/03.M
PT2012-2013/docs/03/20120704_Negocios2_247314.sents,"O Organização Europeia para Pesquisa Nuclear (CERN) anunciou hoje que descobriu uma partícula nova que pode ser o bosão de Higgs, conhecido como a ""partícula de Deus"", porque confere ordem e massa ao universo.",O Organização Europeia para Pesquisa Nuclear (CERN) anunciou hoje que descobriu uma partícula nova que pode ser o bosão de Higgs.,PT2012-2013/summaries/03.M
PT2012-2013/docs/03/20120704_DN_2648404.sents,"O bosão de Higgs, teorizado há quase meio século pelo físico britânico Peter Higgs, era tão procurado porque, segundo o chamado modelo padrão da física, hoje o mais consensual para explicar a matéria e a forma como ela se organiza, é o responsável pela massa das outras partículas.","O bosão de Higgs, teorizado há quase meio século pelo físico britânico Peter Higgs, era tão procurado porque, segundo o modelo padrão da física, é o responsável pela massa das outras partículas.",PT2012-2013/summaries/03.M
PT2012-2013/docs/26/20130806_JN_3359551.sents,"O nome de Daniel Galvan constava de uma lista de 30 reclusos espanhóis que Madrid pediu para serem transferidos para Espanha para cumprirem a pena, de acordo com uma fonte espanhola, citada pela agência noticiosa francesa AFP.",Daniel Galvan constava de uma lista de 30 reclusos que Madrid pediu para serem transferidos para Espanha para cumprirem a pena.,PT2012-2013/summaries/26.C
